title,description,real_salary
Преподаватель программирования в детский центр Учи.ру,"Аспирант или выпускник технического или педагогического вуза, действующий педагог, специалист. Знание языков программирования или желание им обучиться. ! Опыт преподавания в... На Учи.ру более 10 млн учеников 1-11 классов изучают школьные предметы в интерактивной? форме по индивидуальной траектории, готовятся к...",37500.0
Программист JS,"Опыт Frontend разработки от 2 лет. Уверенное знание стека TypeScript, HTML, CSS (less). Понимание принципов работы интерфейсных компонентов в SPA... ",147900.0
Программист,"Среднее профессиональное или высшее профессиональное образование по профилю ИТ. Опыт работы от двух лет в сфере техподдержки. Отличное знание вычислительной... Осуществляет сопровождение внедренных программ и программных средств. Выполняет работу по унификации и типизации вычислительных процессов. Участвует в выборе, установке, настройке...",50000.0
Программист С++,"Обязательно: C++, MFC, WinAPI, минимальные знания SQL. Приветствуется: Понимание принципов организации многопоточных приложений, TCP+UDP, STL+Boost. Разработка программного обеспечения в рамках развития существующей системы на C++. система представляет из себя клиент-серверное приложение, обеспечивающее взаимодействие пользователя...",150000.0
Программист-разработчик,"Опыт работы в составе проектных групп, участия во внедрении учетных систем в качестве разработчика. Опыт групповой разработки. Умение и готовность... Участие в проектировании и архитектуре технических решений. Участие в проектной деятельности в качестве разработчика. Доработка функционала по бюджетированию (формы отчетов). ",200000.0
Программист 1С (удаленно),"Знание внутреннего языка «1С:Предприятие» 8 на уровне квалифицированного разработчика. Знание основных конфигураций 1С (знание конфигураций БП‚ УТ... Участие в разработке и внедрений решений на базе 1С. Разработка / доработка и корректировка конфигураций 1С, написания модулей на...",160950.0
Программист-разработчик Python/Rust,"Требуемый опыт работы: 1–3 года. Понимание асинхронной модели с использованием futures. Знание фреймворков Django, Tokio, умение использовать Ansible.  ",300000.0
Младший программист PHP,"Высшее образование. Владение техническим английским. Опыт создания и программирования сайтов от 1 года. Внимательность к деталям. Приветствуется понимание веб-технологий... Интеграция готовых (сверстанных) шаблонов с компонентами 1С-Битрикс. Доработка компонентов 1С-Битрикс, написание собственных компонентов. Разработка модулей для...",88740.0
Инженер-программист (разработчик),"Высшее техническое образование. Знание современных технологий разработки ПО и языков программирования. Уверенное владение и опыт работы с базами данных, знание... Разработка и отладка программного кода на JAVA(С#) и SQL. Работа с системой контроля версий. Открытость в общении.",100000.0
Программист,"Высшее (Информационные технологии, техническое, математическое, экономическое) образование и стаж в сфере информационных технологий не менее 1 года. Либо среднее профессиональное... Разработка баз данных, внедрение и сопровождение баз данных. Внедрение и сопровождение прикладного программного обеспечения. Обеспечение сохранности данных в процессе сопровождения. ",39063.0
Программист 1С,"   Осуществление программного сопровождения конфигураций 1С; Проведение модификации и обновления существующих документов, отчетов, обработок бухгалтерского, оперативного и управленческого учета; Создание новых документов, отчетов, обработка бухгалтерского, оперативного и управленческого учета; Обучение персонала компании и удаленных подразделений компании работе с существующими и вновь создаваемыми документами и отчетами. Заработная плата по итогам собеседования, в зависимости от навыков и опыта. Крупная, развивающаяся компания, где есть неограниченные карьерные возможности. Трудовые отношения по ТК РФ Организация бесплатной доставки и компенсация питания Продукция по спец.цене В случае переезда из другого региона - билеты, проживание, подъемные по гос.программе ",140000.0
Веб-программист (стажер),"Опыт работы с промышленными CMS. Желательно знание Drupal. Знание PHP, HTML, CSS, JS, XML, jQuery, Bootstrap. Внимательный и ответственный подход... ",67500.0
Главный эксперт управления крупных проектов программы комплексной модернизации,"PMI IPMA ИСОПМ Проектный офис Проекты ТПиР Строительные проекты  Сопровождение крупных проектов технического перевооружения и реконструкции. Выполнение задач по развитию и масштабированию системы управления проектами ТПиР. Оказание методической поддержки участников проектной деятельности, контроль исполнения методологии. Формирование и администрирование базы знаний по проектному управлению. Подготовка отчетности о ходе реализации проектов. Образование высшее по направлению «Экономика» или направлениям укрупненной группы «Инженерное дело, технологии и технические науки», уровень – специалитет или магистратура. Наличие специальных аттестатов, свидетельств в области управления проектами (ИСОПМ, IPMA, PMI и аналогичные). Стаж работы по профилю подразделения не менее 5 лет. Опыт управления проектами технического перевооружения и реконструкции / строительства. Опыт работы в проектном офисе промышленной компании. Опыт аналитики, реинжиниринга и оптимизации бизнес-процессов (внедрения проектного управления). Навыки работы на компьютере, знание программного обеспечения: уверенный пользователь Microsoft Project Server, SharePoint Server, Microsoft Office, навыки написания макросов. Навыки работы с большими объемами информации, умение выделять общее, конструировать систему. Умение четко формулировать мысли в письменной и устной форме, отстаивать позицию. Навыки подготовки и проведения презентации и обучения. Аналитические способности, ответственность, нацеленность на результат, коммуникабельность. ",200000.0
Программист,"Высшее, среднее специальное. Осуществляет тестирование, внедрение, обучение, консультирование сотрудников с программным обеспечением как разработанного в нашей организации так и сторонних разработчиков.",10000.0
Математик-программист,"Будет плюсом: Наличие профильного высшего образования по прикладной математике или физике. Опыт разработки на языке Python, опыт работы с математическими... Разработка математического модуля системы управления промышленных роботов. Расчёт траекторий движения робота в пространстве. Решение кинематических и динамических задач для различных...",87000.0
Программист (Фулл стэк разработчик),"Ищем самоорганизованных, целеустремленных, идейных, full stack web разработчиков. Работал с разными типами данных (XML, JSON, SOAP и т.п.).  Разрабатывал приложения и сервисы с использованием фреймворков (любых). Знаешь толк в оптимизации и грамотном написании SQL запросов с использованием огромного...",80000.0
Инженер-программист,"Владение основными принципами структурного и объективно-ориентированного программирования. Владение основными принципами проектирования информационных систем и реляционных баз данных.  Настройка и администрирование физических и виртуальных серверов, сетевого оборудования. Разработка проектов АСУ ТП, составление спецификаций. Составление мнемосхем для SCADA систем...",80000.0
Программист 1 С,Знание платформы и конфигурации 1 С. Автоматизация деятельности компании на базе 1С v8. Настройка и администрирование стандартных и не типовых конфигураций на базе 1С.Разработка...,105000.0
Инженер-программист С++ (г.Обнинск/г.Москва),"Выпускники МГТУ им Баумана (Кафедра робототехники. РК10, СМ11, СМ7), Сколтеха (робототехника), МАИ (кафедра систем управления, беспилотники), МИФИ... Разработка программ на С++ (основной язык) и Python (как дополнительный, либо желание и готовность изучить его необходимые элементы). ",130500.0
"Программист 1с (it компания, удаленно)","1С программирование 1С: Предприятие 8 Удаленная работа  Участие в реализации крупных проектов по автоматизации; Удаленный формат работы; Понятную схему мотивации; Сертификация 1С за счет компании; Реальные возможности для роста и развития (горизонтальный и вертикальный карьерный рост); Работу с командой специалистов в своей сфере; Все соц гарантии по ТК РФ и преимущества работы в аккредитованной IT компании с первого рабочего дня. Знание типовых конфигураций 1С; Опыт в программирование; Открытость к новому и стремление к развитию (как профессиональному, так и финансовому). Дорабатывать типовые решения под нужды клиента; Интегрировать 1С с другими системами; Решать задачи автоматизации с использованием различных конфигураций 1С. ",108750.0
Программист 1C,"Высшее техническое образование. Опыт разработки в конфигурациях на платформах 1С:Предприятие семейства 8.х от 3-х лет.  Разработка нового, и доработка существующего функционала ПП 1С в составе перечисленных выше конфигураций. Участие в проектах по переходу на...",170000.0
Тестировщик программного обеспечения,Знание фундаментальных основ тестирования ПО. Коммерческий опыт тестирования ПО. Наличие высшего технического образования. Желание развиваться в области тестирования. Создавать и поддерживать в актуальном состоянии тестовую документацию. Тестировать наши сервисы. Документировать обнаруженные ошибки и контролировать их исправление разработчиками.,46980.0
Веб-программист (удалённо),Наличие портфолио (минимум 2 сайта) обязательно. Знание HTML/CSS/PHP и различных популярных CMS обязательно. Знание JS желательно.  Верстка/программирование новых сайтов на различных CMS. Программные доработки сайтов. Помощь SEO-специалисту.,40000.0
Программист 1С,"Знание типовых конфигураций Фирмы ""1С"". Понимание применения метаданных платформы ""1С:Предприятие"" для решения различных прикладных задач.  Разработка, доработка, обновление и оптимизация конфигураций на базе платформы 1С:Предприятие 8.3. Сопровождение программных продуктов 1С: ""УТ...",100000.0
Web-программист,"Опыт программирования от 2-х лет. Отличное знание PHP или других языков программирования. Понимание структуры, организации и работы хотя бы... Разрабатывать и внедрять новые функциональности проекта компании. Поддерживать, производить рефакторинг и дорабатывать разработанные решения. Участвовать во всём процессе разработки — от...",73950.0
Программист 1C,"Исполнительность, аналитический склад ума. Наличие сертификата специалиста, специалиста-консультанта приветствуется. Опыт интеграции 1С (обмен данными) со сторонними системами.  Разработка, доработка, внедрение программных решений на платформе 1С:Предприятие. Разработка интеграционных решений. Сопровождение проектов (частные и государственные).",170000.0
Программист 1C (удаленно),"Опыт разработки на платформе 1С:Предприятия (управляемые формы) для практического использования предприятием. Практическое использование языка запросов и СКД.  Программировать на платформе 1С:Предприятие в соответствии со стандартами 1С. Выполнять задачи, сформулированные в виде ТЗ или в...",185000.0
Web-программист,"Опыт разработки на 1С-Битрикс от 1 года. Понимание архитектуры 1С-Битрикс: компоненты, шаблоны, модули. Навыки работы с... Внедрение ТЗ от SEO специалистов различного уровня сложности на различных платформах. Кроссбраузерная адаптивная верстка страниц. Разработка нового функционала сайтов (фильтров...",80000.0
"Программист SQL, c#/c++","Готовность изучить delphi. - Хорошее знание c# или c++. - Оч хорошее знание sql, лучше именно ms sql. Вам придется писать производительные... Вам предстоит решать задачи связанные с ВЭД, управлением потоками денег, товаров, различными прогнозами, развитием производственных и складских процессов, настройкой обмена...",250000.0
Главный программист 1C (разработчик),"Опыт работы в аналогичной должности от 3-х лет. Опыт работы с КА2, КД2, по доработке и контролю... Консультация пользователей по работе с 1С. Автоматизация бизнес-процессов.",135000.0
Программист / Разработчик .NET (C#),Высшее техническое образование. Знание языка C#. Знание платформы .NET. Знание ООП. Опыт работы с MS SQL Server. Опыт работы с... Командная разработка сложных программных продуктов. Ревизия исходного кода. Поддержка ранее созданных модулей и приложений. Изучение и внедрение новых технологий и...,150000.0
Программист .NET,"Коммерческий опыт работы с указанным стеком от 1,5 лет. Опыт проектирования и разработки микросервисов. Понимание принципов ООП и знание... Разработка веб-приложения на микросервисной архитектуре. Сопровождение и развитие продукта под потребности бизнеса. Поддержка, оптимизация. рефакторинг и ревью кода.",130500.0
Ведущий программист 1С,"Уверенное программирование в среде 1С Предприятие 8.2 и 8.3: понимание основных возможностей платформы, синтаксиса языка 1С... Доработка и сопровождение управленческой информационной системы компании на платформе «1С Предприятие» 8.2. Доработка и сопровождение типовых (БП, ЗУП...",200000.0
Инженер-программист,"Продвинутый пользователь ПК Коммуникация Готовность обучаться  На рынке с 1996 года Нас уже выбрали более 3 млн клиентов Более 95 филиалов во всех крупных городах России Более 1300 партнеров Высшее техническое образование Готовность к изучению нового Установка и настройка СБИС на рабочем месте клиента и в офисе Обучение пользователей работе в системе Техническая поддержка клиентов Понятную систему мотивации. Стабильную, полностью официальную заработную плату Корпоративное обучение Дружный молодой коллектив ",40020.0
"Web-программист / Full Stack разработчик, удаленно","Хорошие навыки HTML5, CSS3, JavaScript, jQuery. CSS3 анимации, SASS, BEM (class names), Gulp (будет преимуществом).  Интеграция верстка с CMS. Поддержка и доработка уже существующих сайтов (добавить страницу, передвинуть меню и т.п.). Установка/перенос сайтов...",110000.0
Программист,Знание языка C. Понимание принципов работы RTOS. Опыт работы с микроконтроллерами на базе ядра Cortex-M. Базовое понимание цифровой и... Проектирование программных модулей для прошивок микроконтроллеров. Интеграция программных модулей в прошивку. Отладка взаимодействия микроконтроллерных устройств между собой. Проектирование тестового и...,120000.0
Ведущий программист 1С,"Знания и навыки конфигурирования и программирования в среде ""1С:Предприятие 8"". Знания одной из типовой конфигурации (Бухгалтерия 3.0... ...базе технологической платформы 1С:Предприятие 8.3 («с нуля» или на базе типовых конфигураций). Интеграция 1С с другими...",113100.0
Инженер-технолог-программист,"Разработка тех.процессов обработки на станках ЧПУ -Simens,Fanuc. Владение ПК. Требования: Высшее образование. Знание: станки ЧПУ, механообработка. Обеспечение разработки и сопровождение технологических процессов в цехе механообработки.",41325.0
Программист-технолог,"Чтение чертежей. Знание основных принципов ЕСКД. Уверенный пользователь ПК, внимательность, усидчивость. Вашим преимуществом будет: Знание оборудования с ЧПУ.  написание управляющих программ для станков с ЧПУ. - обработка запросов и списков по программам, поступающих из цеха. - ведение необходимого документооборота в...",34800.0
PHP-программист,"Навыки: PHP, MySQL, HTML, JavaScript, jQuery. ",60000.0
Программист С++ (удаленное сотрудничество),"Наш продукт - система инженерного трехмерного твердотельного проектирования Компас-3D, широко используемая в различных отраслях промышленности. Мы бы хотели видеть... ",225000.0
Программист 1С,"Опыт программирования на 1С:Предприятие от 3 лет. Аналитические способности, системность и инициативность. Наличие сертификатов 1С будет дополнительным... Участие в проектах внедрения 1С:ERP в роли разработчика. Разработка нового функционала и доработка существующего по заданиям постановщиков.",150000.0
Программист-тестировщик (отдел автотестирования),"Начальные знания одного из языков программирования (базовые типы и умение работать с ними, циклы, функции). Желание развиваться в области автотестирования.  ",60030.0
Программист 1С (с функциями руководителя),"Высшее техническое образование. Знание EDI, ЮЗЭДО, ЕГАИС, Меркурий (программы гос. контроля). Знание 1С8 и 1С 7.7... Руководство работы ИТ-отделом. Знание и понимание оперативного и бухгалтерского учета. Работа с сайтом, поддержание в рабочем порядке. ",150000.0
помощник программиста 1с,"   Сопровождение и доработка типовых конфигураций (1С:Бухгалтерия 3.0, 1С:ЗУП 3.1, 1С:Документооборот 2.1) Консультирование и поддержка внутренних пользователей. Навыки программирования; Высшее образование; Знание 1С 8; Аналитический склад ума; Ответственный подход к работе, умение работать в условиях многозадачности . трудоустройство по ТК РФ; социальный пакет; в организации ведется бронирования военнообязанных; заработная плата по результатам собеседования. 1С: Зарплата и управление персоналом 1С: Документооборот 1С: Бухгалтерия 1C: Предприятие 1С программирование Знание офисных программ Линейное программирование Высшее образование Многозадачность 1С: Бухгалтерия и склад Способность быстро обучаться Уверенное знание ПК Коммуникабельность, ответственность Работа в MS Office Умею начинать дела и доводить их до успешного завершения. 1С: Предприятие 8 Ответственный подход к работе Лояльность",50000.0
Тренер по направлению Танцевальный спорт (латиноамериканская программа) в ДИКЛАБ,"Лидерские качества и проактивность. Опыт обучения танцам по направлению. Подтвержденный опыт участия и побед в соревнованиях (самостоятельный и/или учеников).  Латиноамериканская программа (латина, latin). Проведение групповых и индивидуальных занятий. Проведение пробных занятий. Общение с родителями до и после занятий. ",90000.0
"Преподаватель программирования, робототехники","Бесплатно обучаем педагогике, детской психологии, программированию и робототехнике с нуля. Студент или выпускник ВУЗа, особенно по направлениям в IT сфере.  Фанат цифровой культуры (компьютеры, игры, анимация, роботы, 3D-моделирование). Проводить занятия с применением методических материалов и приемов школы. ",35000.0
Программист 1С (middle),"Способен решать любые задачи, связанные с применением типовых конфигураций 1С 8 (в рамках специализации). Владеет знаниями в области бухгалтерского... Адаптацией, внедрением, сопровождением программных продуктов 1С. Консультированием, обучением клиентов. Руководством проектами, наставничеством.",82650.0
Ведущий программист 1С,Опыт формализации и согласования требований к разрабатываемым системам. Умение ставить задачи <highlighttext>программистам</highlighttext> 1С и принимать их выполнение.  Работа на крупных корпоративных проектах. Доработка конфигураций 1С под требования заказчика. Разработка мобильных приложений на платформе 1С:Предприятие. ,217500.0
Инженер-технолог - программист,"уверенные навыки работы в CAD системах. - уверенные навыки работы в САМ системах(Esprit, SprutCAM) по написанию УП для станков с... разработка новых и изменение существующих технологий, с применением CAD/CAM систем. - разработка(написание) управляющих программ в САМ - системах для оборудования...",120000.0
Программист,"Высшее техническое образование. Опыт работы в аналогичной должности не менее 2лет. Администрирование баз данных (наблюдение за текущей производительностью, исправление неисправностей, обновление ПО базы данных,запуск процедур архивирования, резервного копирования и восстановления...",60900.0
Начинающий программист,"Навыки делового общения, грамотная устная и письменная речь. Способность работать в режиме многозадачности. Умение работать в команде. Высшее образование. Обработка запросов пользователей на изменения и устранение инцидентов в работе; информационных систем на базе 1С. Доработка конфигурации, дополнительных внешних...",60000.0
Программист С++,"Хорошее знание C и C++ (STL, Boost), понимание ООП, шаблонов проектирования и основных принципов разработки программ. Уверенные знания Windows, ее... Разработка и поддержка компонентов ""Контура Информационной Безопасности"".",250000.0
Старший программист 1С,"   Разработка нового функционала и поддержка уже созданного в 1С системах; Доработка конфигураций 1С по обращениям пользователей; Настройка ролей и предоставление доступов к базам 1С; Консультирование пользователей; Интеграция как с 1С системами, так и со сторонними системами. Релевантный опыт работы от 1-го года; Навыки обновления типовых и не типовых конфигураций; Будет являться преимуществом знание основ производственного, бухгалтерского и налогового учета, начисления зарплаты. Перспектива профессионального и карьерного роста; Возможность обучаться в собственном Корпоративном университете (внутренние и внешние тренинги); Доступ в режиме 24/7 к корпоративной электронной библиотеке (это отличная возможность развиваться и наслаждаться лучшей бизнес литературой как в печатном, так и в аудио формате); Интересные современные корпоративные мероприятия; Повышенная корпоративная скидка при покупке товаров в магазинах сети &quot;Слата&quot;. Корпоративная мобильная связь. 1С: Предприятие 8 1С программирование Управление временем Грамотная устная и письменная речь Продвинутый пользователь ПК Основы программирования Отличное знание ПК 1С: Зарплата и управление персоналом Обновление конфигурации 1С 1C: Предприятие Создание конфигурации 1С Работа в условиях многозадачности",70000.0
Ведущий инженер-программист,Высшее образование техническое (профильное). Опыт разработки на платформе 1С 8.х от 3-х лет. Продвинутый пользователь ПК (Linux... Разработка программного обеспечения на платформе 1С 8.3. Интеграция 1С с другими системами. Тестирование разработанного функционала. ,78300.0
"Программист Битрикс (PHP, Bitrix, веб-разработчик)","Обязательно знание PHP5, HTML, Javascript(jQuery), MySQL, CSS3; 1C-Bitrix. Желательно знание Bootstrap, Json, Ajax, XML.  Разработка/доработка сайтов (только 1С-Битрикс). Выполнение задач по поддержке сайтов.",65000.0
Программист 1С,"Желательно техническое в/о. Опыт работы 1С программистом от 2-х лет. Знание платформ 1С 8.2, 8... Сопровождение, доработка, обновление продуктов 1С (УПП, ДО, БП). Клиентская поддержка.",140000.0
Программист 1С (Middle),Опыт работы Программистом 1С от 1 года (Специалист 2 категории Middle). Знание SQL. Умение работать с библиотекой стандартных подсистем.  Выполнение задач по внедрению и сопровождению 1С в составе команды разработчиков.,86500.0
Старший наладчик станков с программным управлением,"Образование профильное техническое, разряд 4-6, опыт работы от 5 лет. Обязанности: сопровождение серийного производства, освоение новых изделий — наладка станков (фрезерная и токарная группы), проведение расчетов для осуществления дальнейшей настройки, работа...",150000.0
Web-программист (Angular),"Знание технологий (Angular 2+, Angular JS, Ionic, NET Core, TypeScript, node-js, webpack и т. д.). Знание HTML5... Сборка и поддержка сайтов (desktop + mobile) компании, под руководством Team Leader и UX-designer.",175000.0
Программист SQL,"Математический склад ума. Отличное знание Transact SQL. Желательно знание особенностей MS SQL. Знание Postgre SQL не обязательно, но будет плюсом. Развитие функционала существующего проекта в СУБД MS SQL. Рефакторинг - оптимизация текущего кода в SQL.",125000.0
Программист .NET,"Высшее образование. Опыт разработки приложений на ASP.NET MVC, HTML, CSS, JavaScript, jQuery, Entity Framework, базы данных MS SQL Server.  Full-stack разработка и поддержка ASP.NET MVC приложений, веб-сервисов и других продуктов. Использование GitLab в качестве системы контроля версий...",69600.0
Психолог-коуч образовательных программ,"   Работа только с действующими клиентами, обучающимися в компании; Оказание психологической поддержки клиентам проекта (необходимо вести чаты и коуч-сессии); Вести документооборот проекта в части сервиса; Вести календарь проекта и собирать обратную связь от клиентов. Образование по направлению Психология является обязательным критерием; Грамотная устная и письменная речь, знание делового этикета; Знание ПК на уровне пользователя; Пунктуальность, исполнительность; Стрессоустойчивость, не конфликтность; Умение работать в режиме многозадачности; Стремление к росту и развитию. Своевременная и достойная оплата труда; График 5/2 с 10-00 до 19-00 по МСК (выходные плавающие); Возможность работать из любой точки мира; Содействие в профессиональном образовании (мы частично оплачиваем курсы повышения квалификации); Доступ к образовательным материалам, которые помогут тебе прокачать свои софт-скиллс и погрузиться в тему предпринимательства; Быстрый рост внутри компании: большинство наших руководителей выросли из рядовых исполнителей; Увеличение дохода: мы регулярно индексируем заработные платы в соответствии с рынком; Работу в инициативном и дружном коллективе профессионалов. Грамотная речь Работа в команде Психология Грамотная устная и письменная речь",35000.0
"Программист Разработчик БД (PostgreSQL, Senior\Middle)",Опыт работы с реляционными базами данных. - Знание теории баз данных и отличное знание PostgreSQL. - Опыт создания и оптимизации сложных запросов. -  Реализация и поддержка бизнес логики на стороне БД (PostgreSQL). - Проектирование БД в рамках поставленной задачи. - Написание документации к выполненной работе. - ,130000.0
Аналитик программы лояльности,"   формирование отчетности, настройка и тестирование, планирование и организация акций, развитие программы лояльности, аналитическая работа с сегментами: изучение динамики сегментов, анализ эффективности различных механик, разработка рекомендаций по повышению эффективности маркетинговых акций Хорошее знание MS Exce, уверенный пользователь ПК Ответственность, внимательность, быстрая обучаемость, аналитический склад ума Высшее образование: математическое, физико-математическое или экономическое образование Опыт работы приветствуется, но не обязателен Полная занятость, 8-ми часовой рабочий день, оформление по ТК РФ. 9:00-18:00 Компенсация питания на карту «Баллуем своих» 40 р в день. Перспективы профессионального и карьерного развития — у нас возможна как горизонтальная ротация между отделами, так и вертикальный рост. Стабильная заработная плата 40000 р. , без вычетов и задержек. Офис в центре города Скидки в фитнес-клубы (Рестон и Багатур) Подарки первоклассникам, новогодние подарки детям, подарочные сертификаты. ",40000.0
